%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1645173545008944836,0.01920485150600559,0.004074776346805417,3.792379732774379e-08,0.658179782278843,0.2584076227477506,0.2585326093983451,0.6581684925480003
1645173545067331511,0.020030866030461236,0.0030297684476739495,3.792379732774379e-08,0.6651562135851955,0.2399039747001597,0.24002182479527417,0.6651336843627838
1645173545184969092,0.020708754053101214,0.002265904036078371,3.792379732774379e-08,0.6702399092982738,0.2253368181605378,0.22544841877087343,0.6702050379091706
1645173545287999058,0.02173940378074924,0.0009323951214458542,3.792379732774379e-08,0.6775378996964209,0.20383185949642224,0.20350763830905058,0.6767419069919194
1645173545358342109,0.022551870160902498,-0.00020567034274745176,3.792379732774379e-08,0.6828942600471275,0.18489078730748615,0.1846626594057729,0.6821807154887076
1645173545431641786,0.022720497094968532,0.00015116451519559503,3.792379732774379e-08,0.6828420430428698,0.18368800845676825,0.18380449299037946,0.6827894024944795
1645173545496077569,0.023172907256510795,0.0003367864078015134,3.792379732774379e-08,0.6838928564665081,0.1797983655854686,0.17990287363761417,0.6838114247830288
1645173545578120338,0.023656814541725284,0.0006071205647809087,3.792379732774379e-08,0.6847969852929012,0.17639727121885176,0.17648828749432924,0.6846816603485218
1645173545642398797,0.024203758809174948,0.0008950999802569796,3.792379732774379e-08,0.6857087653798726,0.1728926908019809,0.17297143232956388,0.6855599828945047
1645173545745256882,0.02479950313813361,0.001256065742226706,3.792379732774379e-08,0.6865157474163683,0.1697311079363295,0.16979906715362508,0.6863350175692648
1645173545815985641,0.02591884648035131,0.0004126783018342326,3.792379732774379e-08,0.6910603972607935,0.15208657951544827,0.15182076540588044,0.6901127841596699
1645173545881908281,0.026445351343748716,0.0011947246131063273,3.792379732774379e-08,0.6904743304660839,0.15315205300314916,0.15316848123261062,0.690165968434566
1645173545967420077,0.027223711187160878,0.0017126212531720034,3.792379732774379e-08,0.6910085100286038,0.15079988546440484,0.15081045900280174,0.6906684002235293
1645173546060910875,0.028089359374015313,0.0019080631183842327,3.792379732774379e-08,0.6924026559937208,0.14434638206571845,0.14435314195639384,0.6920295184200522
1645173546143686641,0.029431486479049255,0.0006233823476501886,3.792379732774379e-08,0.6972088126019818,0.12145592611630145,0.12117950014139658,0.6960343801758943
1645173546220164623,0.0301212133499097,0.0014204808172213357,3.792379732774379e-08,0.6966572979461795,0.12200931330768504,0.12204128190406838,0.6963391861698728
